,t_id,	,rt_id,	,nbpartages,	,nbmentions,
,2351504335,	,1118906466,	,1,	,0,
,66018799,	,850166480,	,1,	,0,
,1634105922,	,322000229,	,2,	,0,
,8460572,	,134284739,	,1,	,0,
,8350912,	,217582361,	,1,	,0,
,59898791,	,2394428599,	,1,	,0,
,21396868,	,2649257084,	,1,	,0,
,756779306,	,2470532772,	,2,	,0,
,8460572,	,495122757,	,1,	,0,
,2359289864,	,1482419018,	,1,	,0,
,877392415,	,166009151,	,1,	,0,
,232353334,	,302481488,	,1,	,0,
,1640054216,	,757724065,	,3,	,0,
,165032231,	,2303965107,	,1,	,0,
,1919283072,	,582974550,	,1,	,0,
,35454634,	,83139061,	,1,	,0,
,23786137,	,2748225077,	,2,	,0,
,2330199894,	,989139624,	,1,	,0,
,879799591,	,2513936075,	,1,	,0,
,286106741,	,1497316190,	,1,	,0,
,420534212,	,1630408310,	,1,	,0,
,309719893,	,459667002,	,1,	,0,
,1919283072,	,149536435,	,1,	,0,
,15796976,	,195503,	,1,	,0,
,38395124,	,68800712,	,2,	,0,
,1522883209,	,2494247504,	,1,	,0,
,127659284,	,857008494,	,4,	,0,
,118677642,	,251069829,	,1,	,0,
,368404814,	,2341122554,	,1,	,0,
,704779033,	,299942623,	,1,	,0,
,135542348,	,1844439594,	,1,	,0,
,450516006,	,893170782,	,1,	,0,
,280288703,	,1570340431,	,5,	,0,
,1267768076,	,167154439,	,1,	,0,
,275625008,	,243726128,	,3,	,0,
,190267364,	,47058095,	,1,	,0,
,2685786702,	,292803275,	,1,	,0,
,36684721,	,573268791,	,1,	,0,
,2237538308,	,135890559,	,1,	,0,
,1239876049,	,338279064,	,1,	,0,
,21943273,	,2560316586,	,1,	,0,
,1568568853,	,802111646,	,2,	,0,
,560356047,	,459633751,	,1,	,0,
,35777570,	,53889272,	,1,	,0,
,571047058,	,2248700289,	,1,	,0,
,97470998,	,1492012436,	,1,	,0,
,1111796005,	,358917808,	,2,	,0,
,460239236,	,357670124,	,1,	,0,
,41093168,	,286197523,	,1,	,0,
,119693093,	,2494021200,	,2,	,0,
,2436889045,	,62608621,	,1,	,0,
,20224969,	,95312133,	,2,	,0,
,21313364,	,2485498904,	,57,	,0,
,360659082,	,292932233,	,1,	,1,
,24744541,	,777283663,	,3,	,0,
,87158172,	,376437579,	,1,	,0,
,2336832030,	,2469525624,	,1,	,0,
,2649991,	,2203206837,	,1,	,0,
,18008484,	,436310827,	,1,	,0,
,133663801,	,1746874826,	,1,	,0,
,99180120,	,355190122,	,1,	,0,
,23107505,	,1897841677,	,1,	,0,
,1102290619,	,1593643915,	,1,	,0,
,227430215,	,1318997568,	,1,	,0,
,412135727,	,2530136840,	,1,	,0,
,364513528,	,357432623,	,1,	,0,
,38142665,	,164431417,	,1,	,0,
,847061216,	,2350188882,	,1,	,0,
,564856252,	,30465778,	,1,	,0,
,181633654,	,572987231,	,1,	,0,
,376812938,	,185982920,	,2,	,0,
,997561398,	,2173480960,	,1,	,0,
,36932487,	,2750414809,	,1,	,0,
,364513528,	,2221338942,	,1,	,0,
,15796976,	,2148488095,	,1,	,0,
,244170872,	,2564337723,	,1,	,0,
,364513528,	,48707639,	,1,	,0,
,249408908,	,2822273354,	,1,	,0,
,1568353904,	,1334596194,	,1,	,0,
,557529388,	,2376153646,	,1,	,0,
,1994321,	,619934639,	,1,	,0,
,74167992,	,1090238707,	,5,	,0,
,1994321,	,2790196261,	,2,	,0,
,1563477943,	,1543211520,	,1,	,0,
,302500864,	,236060479,	,1,	,0,
,301613161,	,1357102304,	,1,	,0,
,194173066,	,48669972,	,1,	,0,
,33388399,	,603396401,	,1,	,0,
,376812938,	,2558660667,	,1,	,0,
,1416539461,	,1283442889,	,1,	,0,
,335488311,	,110931531,	,1,	,0,
,8460572,	,1692138680,	,1,	,0,
,1854353216,	,2523766527,	,1,	,0,
,218281638,	,2376438428,	,1,	,0,
,15838516,	,133754181,	,3,	,0,
,1563477943,	,2718672299,	,1,	,0,
,8350912,	,512495516,	,12,	,0,
,177217315,	,39538605,	,2,	,0,
,24744541,	,254498092,	,1,	,0,
,168619698,	,386041084,	,1,	,0,
,52744325,	,145702955,	,1,	,0,
,213583383,	,972474374,	,1,	,0,
,2328488472,	,2828528396,	,1,	,0,
,17865415,	,2546072604,	,1,	,0,
,2188542632,	,344840406,	,1,	,0,
,128598976,	,899898859,	,1,	,0,
,20224969,	,5508582,	,1,	,0,
,242815627,	,14575343,	,1,	,0,
,2649991,	,458988833,	,1,	,0,
,635279577,	,199075804,	,1,	,0,
,217121886,	,1097842340,	,1,	,0,
,68440549,	,67624484,	,1,	,0,
,19976004,	,221801192,	,1,	,0,
,222153850,	,21762698,	,1,	,0,
,128598976,	,548551022,	,1,	,0,
,204254073,	,127643327,	,1,	,0,
,24744541,	,1949488410,	,1,	,0,
,2649991,	,2674004784,	,1,	,0,
,151944204,	,507819319,	,1,	,0,
,2166386359,	,125927757,	,1,	,0,
,412213891,	,2327075144,	,1,	,0,
,310147105,	,1068434431,	,2,	,0,
,118192781,	,2559386197,	,1,	,0,
,1858109869,	,404973251,	,1,	,0,
,2601456482,	,2601473365,	,1,	,0,
,2326049100,	,229883580,	,1,	,0,
,42869741,	,172402527,	,1,	,0,
,13353862,	,1245441690,	,1,	,0,
,357412940,	,330661444,	,1,	,0,
,8350912,	,583634304,	,2,	,0,
,194191469,	,2569196850,	,2,	,0,
,525733281,	,702373530,	,1,	,0,
,275625008,	,35202564,	,1,	,0,
,2450375796,	,2493892838,	,1,	,0,
,225036513,	,98359806,	,1,	,0,
,35777570,	,107064697,	,1,	,0,
,2439841758,	,1576114334,	,1,	,0,
,2751112653,	,1681973106,	,1,	,0,
,24744541,	,2787013406,	,1,	,0,
,583829453,	,2197955503,	,4,	,0,
,194937286,	,118314508,	,1,	,0,
,84556082,	,2494030958,	,1,	,0,
,47924235,	,12901782,	,1,	,0,
,1021914422,	,501787598,	,1,	,0,
,1613009941,	,2601464352,	,1,	,0,
,847797764,	,835725830,	,1,	,0,
,337376974,	,950435516,	,1,	,0,
,18936161,	,442344823,	,1,	,0,
,448726646,	,432714833,	,1,	,0,
,23768324,	,461130775,	,1,	,0,
,455862458,	,2232760116,	,1,	,0,
,212371744,	,2601466418,	,1,	,0,
,18858998,	,712424428,	,1,	,0,
,426945289,	,2530136840,	,1,	,0,
,1436733306,	,2659809344,	,1,	,0,
,357412940,	,376442480,	,1,	,0,
,412213891,	,2653973162,	,1,	,0,
,412213891,	,355862730,	,1,	,0,
,2362631311,	,18168963,	,1,	,0,
,21313364,	,528847909,	,2,	,0,
,18936161,	,899636906,	,3,	,0,
,8350912,	,209039450,	,1,	,0,
,124413849,	,404316839,	,1,	,0,
,11673462,	,275747997,	,1,	,0,
,47924235,	,2491630632,	,1,	,0,
,473213226,	,2323898424,	,1,	,0,
,2649991,	,295109467,	,1,	,0,
,632729567,	,1415142588,	,1,	,0,
,365251227,	,925774292,	,1,	,0,
,991214378,	,793090224,	,1,	,0,
,1613510328,	,2610609764,	,1,	,0,
,8350912,	,861337568,	,6,	,0,
,584882931,	,111589590,	,1,	,0,
,68440549,	,275951735,	,1,	,0,
,72245880,	,1066156454,	,1,	,0,
,2354696552,	,560613801,	,1,	,0,
,344321458,	,262554664,	,1,	,0,
,220677812,	,429710343,	,1,	,0,
,17396243,	,218962313,	,1,	,0,
,2476679334,	,55646551,	,1,	,0,
,1128067351,	,309178937,	,2,	,0,
,21313364,	,707527792,	,13,	,0,
,207192972,	,563718067,	,1,	,0,
,555499085,	,2493968618,	,1,	,0,
,1702204111,	,95639457,	,3,	,0,
,2732602029,	,512554257,	,1,	,0,
,2649991,	,380993338,	,1,	,0,
,2649991,	,2815533206,	,1,	,0,
,1327735346,	,494037039,	,3,	,0,
,411052481,	,301384235,	,1,	,0,
,2151480642,	,2674548164,	,1,	,0,
,476783264,	,2318721163,	,1,	,0,
,360628316,	,251078369,	,2,	,0,
,34867057,	,2322547309,	,1,	,0,
,436922925,	,2458213770,	,1,	,0,
,26214858,	,366655181,	,1,	,0,
,1667669136,	,122020621,	,1,	,0,
,38142665,	,492344547,	,5,	,0,
,1283101652,	,2601531127,	,2,	,0,
,586483075,	,2342598302,	,1,	,0,
