date_article,delai,jours,heures,nbt,nbrt,nbtmedia,nbrtmedia,nbimages,nbvideos,titre,media
05/09/2014 11:16,0,0,0,2,2,2,2,0,0,Jennifer Lopez : Booty feat. Iggy Azalea; un teaser hot du clip,melty.fr
14/08/2014 20:53,0,0,1,3,3,0,0,0,0,Tennis. Masters Cincinnati : Djokovic éliminé en huitième de finale !  ,ouest-france.fr
22/07/2014 05:50,1,1,25,11,7,1,0,0,0,Rendez-vous en septembre pour s'abonner à Netflix en France,francetvinfo.fr
12/06/2014 15:30,0,0,0,4,4,1,1,0,0,Mercato. Barcelone annonce un accord avec Chelsea pour Fabregas  ,ouest-france.fr
18/11/2013 09:29,1,0,0,1,1,1,1,0,0,Bilbo Le Hobbit 2 : Un nouveau spot tv dévoilé,melty.fr
29/09/2014 14:00,0,1,24,4,3,1,1,0,0,Entraide sur internet. Les bons plans des Flériens  ,ouest-france.fr
25/08/2014 14:09,1,0,4,19,10,0,0,0,0,Ice Bucket Challenge : Rice Bucket Challenge; le défi version indienne,melty.fr
07/09/2014 13:47,1,31,749,10,10,0,0,0,0,How I Met Your Mother saison 9 : La fin alternative dévoilée divise Twitter,melty.fr
12/08/2014 09:43,0,0,1,4,4,2,2,0,0,Teen Wolf Saison 4 : Episode 9; la bande-annonce dévoilée !,melty.fr
11/10/2014 08:58,1,1,35,51,23,0,0,1,0,Un sous-traitant d'Apple dénonce des contrats abusifs,bfmtv.com
16/09/2014 10:09,1,1,28,49,28,0,0,0,0,Gaston Flosse est déchu de son mandat de sénateur de Polynésie,francetvinfo.fr
23/04/2014 05:09,1,0,2,5,3,1,1,0,0,Avril Lavigne : Hello Kitty; le clip dévoilé !,melty.fr
12/05/2014 12:22,1,1,26,47,43,0,0,0,0,Ce que l'on sait du naufrage d'un bateau de migrants au large de Lampedusa,francetvinfo.fr
08/06/2014 09:27,1,0,0,2,2,0,0,0,0,                Leonor; huit ans; la plus jeune princesse héritière d’Europe    ,republicain-lorrain.fr
01/08/2014 16:21,0,0,0,1,1,0,0,0,0,Mercato. Guillermo Ochoa à Malaga  ,ouest-france.fr
01/09/2014 10:27,0,0,0,4,4,2,2,0,0,Teen Wolf Saison 4 : Episode 11 ce soir; Derek en danger ?,melty.fr
09/09/2014 14:49,0,0,0,4,4,0,0,0,0,Homeland Saison 4 : De nouveaux indices dans un trailer inédit !,melty.fr
18/04/2014 10:01,1,6,147,4,3,0,0,0,0,Adopteunmec : On mentirait tous sur les sites de rencontre selon une étude !,melty.fr
22/11/2013 08:12,1,0,0,1,1,1,1,0,0,Londres : 3 femmes libérées après avoir été séquestrées pendant 30 ans !,melty.fr
